"EIN","Organization Name","Address","City","State","Zip","Total Revenue - Current Year","Total Functional Expenses","Total Liabilities: End of Year","Total Assets: End of Year","Number of Employees Reported on Form W-3","Net Assets","National Taxonomy of Exempt Entities Short Description","Type of 990 Form Filed","Fiscal Year End","National Taxonomy of Exempt Entities Full Description","Point Source","Selected Location"
"ein","organization_name","address","city","state_code","zip_code","tot_rev","tot_exp","tot_liab","tot_assets","tot_emp","net_assets","ntee_short_description","formtype","fisyr","ntee_description","Source","Location"
"01-0554061","Mount Ephraim Senior Housing Initiative Inc","587 Haddon Ave","COLLINGSWOOD","NJ","8108","635333","786832","7006834","4208983","6","-2797851","Housing, Shelter","f990","2022","Senior Citizens' Housing/Retirement Communities","Candid","Camden (County, 2022)"
"01-0801820","Camden County Partnership for Children Inc","221 Laurel Rd Ste 300","VOORHEES","NJ","8043","17210381","13841547","922543","8510476","141","7587933","Human Services - Multipurpose and Other","f990","2022","Family Services","Candid","Camden (County, 2022)"
"02-0650756","Urban Promise Ministries Community Development Inc","2 N FORKLANDING RD","MAPLE SHADE","NJ","8052","706354","617543","8623","262795","0","254172","Community Improvement, Capacity Building","f990","2022","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"02-0660903","Allied Resources for Children Incorporated","879 BEIDEMAN AVE","CAMDEN","NJ","8105","329853","136385","23054","284844","0","261790","Education","f990","2021","Student Services and Organizations","Candid","Camden (County, 2022)"
"04-3769403","Stacy Zallie Foundation Inc","1230 Blackwood Clementon Rd","CLEMENTON","NJ","8021","90903","51100","0","161162","0","161162","Mental Health, Crisis Intervention","f990","2021","Counseling Support Groups","Candid","Camden (County, 2022)"
"06-1024058","American Society of Perianesthesia Nurses","90 Frontage Rd","CHERRY HILL","NJ","8034","3496191","2481404","775318","7337515","12","6562197","Health","f990","2021","Nursing Services General (includes Candy Stripers)","Candid","Camden (County, 2022)"
"11-3786401","Village Wrap Inc","316 Haddon Ave","COLLINGSWOOD","NJ","8108","285182","250496","0","36374","0","36374","Human Services - Multipurpose and Other","f990","2019","Alliance/Advocacy Organizations","Candid","Camden (County, 2022)"
"13-2640040","Asgpp Inc","PO Box 1654","MERCHANTVILLE","NJ","8109","106178","87609","0","154196","0","154196","Mental Health, Crisis Intervention","f990","2022","Professional Societies & Associations","Candid","Camden (County, 2022)"
"13-4205636","Family Health Initiatives Inc","2500 McClellan Ave Ste 250","PENNSAUKEN","NJ","8109","3659074","3733670","1113091","1556413","0","443322","Health","f990","2021","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"13-6096832","Alice Rich Northrop Memorial","100 Lindis Farne Ave Apt 1308","HADDON TOWNSHIP","NJ","8108","55464","26443","100","817416","0","817316","Recreation, Sports, Leisure, Athletics","f990","2019","Recreational and Sporting Camps (Day, Overnight, etc.)","Candid","Camden (County, 2022)"
"14-1859173","Arvf Corporation","2115 Voorhees Town Ctr","VOORHEES","NJ","8043","324900","327759","28620","353875","3","325255","Health","f990","2021","Patient Services - Entertainment, Recreation","Candid","Camden (County, 2022)"
"14-1918450","Tower of Hope International Ministries Inc","PO Box 148","PENNSAUKEN","NJ","8110","46115","40750","0","0","0","0","International, Foreign Affairs, and National Security","f990","2021","International, Foreign Affairs, and National Security N.E.C.","Candid","Camden (County, 2022)"
"20-0090179","Runnemede Industries Inc","1940 Olney Ave","CHERRY HILL","NJ","8003","926469","896278","25060","150465","13","125405","Diseases, Disorders, Medical Disciplines","f990","2021","Single Organization Support","Candid","Camden (County, 2022)"
"20-0468802","Nehemiah Project Community Development Corporation","PO Box 2031","CAMDEN","NJ","8101","3528","0","0","784826","0","784826","Community Improvement, Capacity Building","f990","2021","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"20-0549531","Homeward Bound Pet Adoption Center Inc","PO Box 475","BLACKWOOD","NJ","8012","2701497","2774060","124967","1329793","144","1204826","Animal-Related","f990","2021","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"20-0683866","Freedom Prep Charter School","1000 Atlantic Ave Fl 4","CAMDEN","NJ","8104","18736177","14984124","8749893","12014464","99","3264571","Education","f990","2021","Charter Schools","Candid","Camden (County, 2022)"
"20-1260545","Jewish Community Foundation Inc","1301 SPRINGDALE RD","CHERRY HILL","NJ","8003","8752647","4406127","2012734","42600461","4","40587727","Philanthropy, Voluntarism, and Grantmaking Foundations","f990","2021","Community Foundations","Candid","Camden (County, 2022)"
"20-1484798","Jewish Community Properties Inc","1301 Springdale Rd # 200","CHERRY HILL","NJ","8003","182673","1240442","6433524","10959629","0","4526105","Religion Related, Spiritual Development","f990","2021","Jewish","Candid","Camden (County, 2022)"
