Census Tract,Population 16 Years and Over:,Population 16 Years and Over: In Labor Force,Population 16 Years and Over: In Labor Force: Civilian: Employed,Population 16 Years and Over: In Labor Force: Civilian: Unemployed,Population 16 Years and Over: Not in Labor Force,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,Average Family Income (In 2022 Inflation Adjusted Dollars),Households:,Households: With Public Assistance Income,Households: No Public Assistance Income,Households: With Retirement Income,Households: No Retirement Income,Families: 3.00 to 3.99,Families: 4.00 to 4.99,Families: 5.00 and Over,Total:,Total: No Health Insurance Coverage,Total: With Health Insurance Coverage,Total: With Health Insurance Coverage: Public Health Coverage,Total: With Health Insurance Coverage: Private Health Insurance,Population Under 18:,Population Under 18: No Health Insurance Coverage,Population Under 18: With Health Insurance Coverage,Population 18 to 24:,Population 18 to 24: No Health Insurance Coverage,Population 18 to 24: With Health Insurance Coverage,Population 25 to 34:,Population 25 to 34: No Health Insurance Coverage,Population 25 to 34: With Health Insurance Coverage,Population 35 to 64:,Population 35 to 64: No Health Insurance Coverage,Population 35 to 64: With Health Insurance Coverage,Population 65 or Older:,Population 65 or Older: No Health Insurance Coverage,Population 65 or Older: With Health Insurance Coverage
Geo_TRACT,SE_A17002_001,SE_A17002_002,SE_A17002_005,SE_A17002_006,SE_A17002_007,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A14011_001,SE_A10014_001,SE_A10014_002,SE_A10014_003,SE_A10015_002,SE_A10015_003,SE_D13004_004,SE_D13004_005,SE_D13004_006,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005,SE_A20002_002,SE_A20002_003,SE_A20002_004,SE_A20002_007,SE_A20002_008,SE_A20002_009,SE_A20002_012,SE_A20002_013,SE_A20002_014,SE_A20002_017,SE_A20002_018,SE_A20002_019,SE_A20002_022,SE_A20002_023,SE_A20002_024
600200,1543,808,577,231,735,1277,335,596,200,82,53,0,11,82560,616,24,592,144,472,91,11,41,1693,275,1418,1081,500,307,0,307,141,0,141,335,119,216,831,156,675,79,0,79
600400,1959,713,469,244,1246,1623,654,295,341,156,60,117,0,38997.51332,1058,144,914,269,789,27,57,9,2766,236,2530,2071,690,1081,69,1012,71,13,58,198,18,180,958,136,822,458,0,458
600700,967,560,496,64,407,807,345,251,131,68,12,0,0,74978.26087,444,23,421,115,329,26,9,43,1338,126,1212,995,343,456,0,456,75,0,75,167,48,119,475,63,412,165,15,150
600800,3974,1520,1304,216,2454,3062,1258,1034,681,57,32,0,0,42449.34701,1725,301,1424,264,1461,91,0,38,5018,612,4406,3645,968,1526,105,1421,774,160,614,470,146,324,1630,201,1429,618,0,618
600900,2624,1443,1307,136,1181,2092,1213,464,367,27,0,21,0,45660.90535,1222,63,1159,89,1133,18,105,29,3798,234,3564,2998,844,1459,0,1459,303,29,274,409,33,376,1223,172,1051,404,0,404
601000,4390,2868,2589,279,1522,3340,1121,1143,875,186,15,0,0,65480.33058,1671,87,1584,151,1520,237,38,77,5645,1080,4565,3065,1661,1505,173,1332,817,290,527,710,165,545,2135,441,1694,478,11,467
601101,2280,1347,1294,53,933,1848,780,562,360,127,6,13,0,65769.24198,849,148,701,141,708,15,30,106,3295,604,2691,1918,908,1148,112,1036,299,116,183,470,173,297,995,203,792,383,0,383
601102,3803,2137,1856,281,1666,2965,1132,943,537,319,34,0,0,82639.03846,1456,90,1366,192,1264,39,211,168,5044,1092,3952,2595,1852,1592,149,1443,500,234,266,534,283,251,1789,421,1368,629,5,624
601200,4780,3201,3011,190,1579,3697,1054,1201,1003,297,142,0,0,66100.24907,2000,52,1948,355,1645,228,159,150,6529,976,5553,3438,2617,1945,158,1787,1001,90,911,947,231,716,1978,460,1518,658,37,621
601300,3546,2346,1955,391,1200,2930,966,1095,724,118,27,0,0,53075.40486,1665,39,1626,88,1577,28,55,102,4726,1105,3621,2946,1075,1351,113,1238,528,257,271,807,307,500,1641,428,1213,399,0,399
