Census Tract,Population 16 Years and Over:,Population 16 Years and Over: In Labor Force,Population 16 Years and Over: In Labor Force: Civilian: Employed,Population 16 Years and Over: In Labor Force: Civilian: Unemployed,Population 16 Years and Over: Not in Labor Force,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Average Family Income (In 2022 Inflation Adjusted Dollars),Households:,Households: With Public Assistance Income,Households: No Public Assistance Income,Households: With Retirement Income,Households: No Retirement Income,Total:,Total: No Health Insurance Coverage,Total: With Health Insurance Coverage,Population 25 to 34:,Population 25 to 34: No Health Insurance Coverage,Population 25 to 34: With Health Insurance Coverage,Population 65 or Older:,Population 65 or Older: No Health Insurance Coverage,Population 65 or Older: With Health Insurance Coverage
Geo_TRACT,Pop_16yrs_Over,Labor_16Plus,Employed_16Plus,Unemployed_16Plus,Not_Labor_16Plus,Pop_25Plus,Less_HS_25Plus,HS_Grads_25Plus,Some_College_25Plus,Bachelors_25Plus,Masters_25Plus,Avg_Fam_Inc,Households,Housholds_Public_AssistInc,Housholds_No_Public_Assist,Housholds_Retire_Inc,Housholds_No_Retir_Inc,Total,Total_No_Health_Ins,Total_With_Health_Ins,Pop_25_34,Pop_25_34_No_Health_Ins,Pop_25_34_With_Health_Ins,Pop_65Plus,Pop_65Plus_No_Health_Ins,Pop_65Plus_With_Health_Ins
600200,1543,808,577,231,735,1277,335,596,200,82,53,82560,616,24,592,144,472,1693,275,1418,335,119,216,79,0,79
600400,1959,713,469,244,1246,1623,654,295,341,156,60,38997.51332,1058,144,914,269,789,2766,236,2530,198,18,180,458,0,458
600700,967,560,496,64,407,807,345,251,131,68,12,74978.26087,444,23,421,115,329,1338,126,1212,167,48,119,165,15,150
600800,3974,1520,1304,216,2454,3062,1258,1034,681,57,32,42449.34701,1725,301,1424,264,1461,5018,612,4406,470,146,324,618,0,618
600900,2624,1443,1307,136,1181,2092,1213,464,367,27,0,45660.90535,1222,63,1159,89,1133,3798,234,3564,409,33,376,404,0,404
601000,4390,2868,2589,279,1522,3340,1121,1143,875,186,15,65480.33058,1671,87,1584,151,1520,5645,1080,4565,710,165,545,478,11,467
601101,2280,1347,1294,53,933,1848,780,562,360,127,6,65769.24198,849,148,701,141,708,3295,604,2691,470,173,297,383,0,383
601102,3803,2137,1856,281,1666,2965,1132,943,537,319,34,82639.03846,1456,90,1366,192,1264,5044,1092,3952,534,283,251,629,5,624
601200,4780,3201,3011,190,1579,3697,1054,1201,1003,297,142,66100.24907,2000,52,1948,355,1645,6529,976,5553,947,231,716,658,37,621
601300,3546,2346,1955,391,1200,2930,966,1095,724,118,27,53075.40486,1665,39,1626,88,1577,4726,1105,3621,807,307,500,399,0,399
601400,3413,1709,1262,447,1704,2641,833,977,662,136,33,57577.81955,1442,109,1333,333,1109,4181,433,3748,378,56,322,517,0,517
601500,4257,2589,2102,487,1668,3737,829,1542,1192,120,0,62095.7477,2300,174,2126,141,2159,5373,419,4954,728,65,663,823,0,823
601600,1907,1143,1013,130,764,1669,528,516,496,68,61,49319.75117,950,41,909,68,882,2394,405,1989,321,55,266,163,0,163
601700,1785,977,724,253,808,1287,240,642,286,119,0,44315.78171,1122,87,1035,66,1056,2805,112,2693,209,0,209,200,0,200
601800,628,376,344,32,252,572,170,159,242,1,0,80956.28141,368,45,323,13,355,918,121,797,11,0,11,69,0,69
601900,1802,1103,1002,101,699,1607,364,552,447,79,165,49642.5,990,169,821,176,814,2701,113,2588,451,48,403,249,0,249
