"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Mental Health","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_mhlth","TimeFrame","GeoVintage","Source","Location"
"Census Tract","34007600200","NJ","34007600200","=""34007600200""","22.3","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007600400","NJ","34007600400","=""34007600400""","23.8","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007600700","NJ","34007600700","=""34007600700""","22.7","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007600800","NJ","34007600800","=""34007600800""","22.9","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007600900","NJ","34007600900","=""34007600900""","25.2","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007601000","NJ","34007601000","=""34007601000""","18.8","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007601101","NJ","34007601101","=""34007601101""","21.0","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007601102","NJ","34007601102","=""34007601102""","18.6","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007601200","NJ","34007601200","=""34007601200""","20.6","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007601300","NJ","34007601300","=""34007601300""","20.8","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007601400","NJ","34007601400","=""34007601400""","19.3","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007601500","NJ","34007601500","=""34007601500""","24.5","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007601600","NJ","34007601600","=""34007601600""","26.1","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007601700","NJ","34007601700","=""34007601700""","25.5","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007601800","NJ","34007601800","=""34007601800""","23.0","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007601900","NJ","34007601900","=""34007601900""","24.6","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007602000","NJ","34007602000","=""34007602000""","23.0","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007602503","NJ","34007602503","=""34007602503""","15.2","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007602601","NJ","34007602601","=""34007602601""","15.4","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007602602","NJ","34007602602","=""34007602602""","19.0","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007602901","NJ","34007602901","=""34007602901""","14.4","2021","2010","CDC_PLACES","Camden (County, 2022)"
